trial_id,command_ts_utc,command_state,observed_state,observed_ts_utc,latency_ms,power_w,current_a,voltage_v,notes
1,2026-02-18T09:08:31Z,ON,ON,2026-02-18T09:08:32Z,na,0,0,232,state_ack
2,,,ON,2026-02-18T09:08:32Z,na,0,0,232,state_without_matching_set
3,2026-02-18T09:08:34Z,OFF,OFF,2026-02-18T09:08:35Z,na,0,0,232,state_ack
4,,,OFF,2026-02-18T09:08:35Z,na,0,0,232,state_without_matching_set
5,2026-02-18T09:08:59Z,ON,ON,2026-02-18T09:08:59Z,na,0,0,232,state_ack
6,,,ON,2026-02-18T09:08:59Z,na,0,0,232,state_without_matching_set
7,,,ON,2026-02-18T09:09:05Z,na,0,0.09,232,state_without_matching_set
8,,,ON,2026-02-18T09:09:06Z,na,13,0.09,232,state_without_matching_set
9,2026-02-18T09:09:10Z,OFF,OFF,2026-02-18T09:09:10Z,na,13,0.09,232,state_ack
10,,,OFF,2026-02-18T09:09:10Z,na,13,0.09,232,state_without_matching_set
11,,,OFF,2026-02-18T09:09:10Z,na,0,0.09,232,state_without_matching_set
12,,,OFF,2026-02-18T09:09:11Z,na,0,0.09,232,state_without_matching_set
13,,,OFF,2026-02-18T09:09:21Z,na,0,0,232,state_without_matching_set
14,,,OFF,2026-02-18T09:09:22Z,na,0,0,232,state_without_matching_set
15,,,OFF,2026-02-18T09:09:59Z,na,0,0,233,state_without_matching_set
16,,,OFF,2026-02-18T09:09:59Z,na,0,0,233,state_without_matching_set
17,,,OFF,2026-02-18T09:10:10Z,na,0,0,233,state_without_matching_set
18,,,OFF,2026-02-18T09:10:10Z,na,0,0,233,state_without_matching_set
19,2026-02-18T09:10:42Z,ON,ON,2026-02-18T09:10:43Z,na,0,0,233,state_ack
20,,,ON,2026-02-18T09:10:43Z,na,0,0,233,state_without_matching_set
21,,,ON,2026-02-18T09:10:44Z,na,0,0.31,233,state_without_matching_set
22,,,ON,2026-02-18T09:10:49Z,na,0,0.1,233,state_without_matching_set
23,,,ON,2026-02-18T09:10:49Z,na,11,0.1,233,state_without_matching_set
24,,,ON,2026-02-18T09:10:54Z,na,11,0.02,233,state_without_matching_set
25,,,ON,2026-02-18T09:11:05Z,na,0,0.02,233,state_without_matching_set
26,2026-02-18T09:12:33Z,OFF,OFF,2026-02-18T09:12:33Z,na,0,0.02,233,state_ack
27,,,OFF,2026-02-18T09:12:33Z,na,0,0.02,233,state_without_matching_set
28,2026-02-18T09:12:52Z,ON,ON,2026-02-18T09:12:53Z,na,0,0.02,233,state_ack
29,,,ON,2026-02-18T09:12:53Z,na,0,0.02,233,state_without_matching_set
30,2026-02-18T09:12:55Z,OFF,OFF,2026-02-18T09:12:55Z,na,0,0.02,233,state_ack
31,,,OFF,2026-02-18T09:12:55Z,na,0,0.02,233,state_without_matching_set
32,,,OFF,2026-02-18T09:12:55Z,na,0,0.09,233,state_without_matching_set
33,2026-02-18T09:12:57Z,ON,ON,2026-02-18T09:12:57Z,na,0,0.09,233,state_ack
34,,,ON,2026-02-18T09:12:57Z,na,0,0.09,233,state_without_matching_set
35,2026-02-18T09:12:59Z,OFF,OFF,2026-02-18T09:12:59Z,na,0,0.09,233,state_ack
36,,,OFF,2026-02-18T09:12:59Z,na,0,0.09,233,state_without_matching_set
37,,,OFF,2026-02-18T09:13:00Z,na,0,0.09,233,state_without_matching_set
38,2026-02-18T09:13:01Z,ON,ON,2026-02-18T09:13:01Z,na,0,0.09,233,state_ack
39,,,ON,2026-02-18T09:13:01Z,na,0,0.09,233,state_without_matching_set
40,2026-02-18T09:13:03Z,OFF,OFF,2026-02-18T09:13:03Z,na,0,0.09,233,state_ack
41,,,OFF,2026-02-18T09:13:03Z,na,0,0.09,233,state_without_matching_set
42,2026-02-18T09:13:05Z,ON,ON,2026-02-18T09:13:05Z,na,0,0.09,233,state_ack
43,,,ON,2026-02-18T09:13:05Z,na,0,0.09,233,state_without_matching_set
44,2026-02-18T09:13:07Z,OFF,OFF,2026-02-18T09:13:07Z,na,0,0.09,233,state_ack
45,,,OFF,2026-02-18T09:13:07Z,na,0,0.09,233,state_without_matching_set
46,2026-02-18T09:13:09Z,ON,ON,2026-02-18T09:13:09Z,na,0,0.09,233,state_ack
47,,,ON,2026-02-18T09:13:09Z,na,0,0.09,233,state_without_matching_set
48,2026-02-18T09:13:11Z,OFF,OFF,2026-02-18T09:13:11Z,na,0,0.09,233,state_ack
49,,,OFF,2026-02-18T09:13:11Z,na,0,0.09,233,state_without_matching_set
50,,,OFF,2026-02-18T09:13:11Z,na,0,0,233,state_without_matching_set
51,,,OFF,2026-02-18T09:15:17Z,na,0,0,234,state_without_matching_set
52,,,OFF,2026-02-18T09:15:17Z,na,0,0,234,state_without_matching_set
53,,,OFF,2026-02-18T09:15:28Z,na,0,0,234,state_without_matching_set
54,,,OFF,2026-02-18T09:15:28Z,na,0,0,234,state_without_matching_set
